,CART,EBM,Lasso Stumps,RiskSLIM
General,0.554,0.651,0.623,0.561
Violent,0.549,0.716,0.762,0.703
Drug,0.553,0.606,0.58,0.556
Property,0.523,0.62,0.578,0.594
Felony,0.525,0.657,0.634,0.599
Misdemeanor,0.528,0.612,0.603,0.599
