,AdaBoost,std,GAM,std
,,,,
Two Year Recidivism,0.738,0.002,0.737,0.001
,,,,
Six Month Recidivism,0.766,0.003,0.765,0.003
,,,,
Violence,0.821,0.001,0.82,0.002
,,,,
Drug,0.702,0.004,0.701,0.004
,,,,
Property,0.787,0.006,0.789,0.007
,,,,
Felony,0.747,0.003,0.746,0.003
,,,,
Misdemeanor,0.713,0.003,0.713,0.002
