Problem,Performance,Model,Time
General,0.668,L2-Logistic,Two Year
General,0.667,L1-Logistic,Two Year
General,0.667,LinearSVM,Two Year
General,0.659,RF,Two Year
General,0.661,XGBoost,Two Year
Violent,0.689,L2-Logistic,Two Year
Violent,0.695,L1-Logistic,Two Year
Violent,0.681,LinearSVM,Two Year
Violent,0.661,RF,Two Year
Violent,0.675,XGBoost,Two Year
Drug,0.695,L2-Logistic,Two Year
Drug,0.695,L1-Logistic,Two Year
Drug,0.692,LinearSVM,Two Year
Drug,0.679,RF,Two Year
Drug,0.709,XGBoost,Two Year
Property,0.731,L2-Logistic,Two Year
Property,0.735,L1-Logistic,Two Year
Property,0.713,LinearSVM,Two Year
Property,0.707,RF,Two Year
Property,0.732,XGBoost,Two Year
Felony,0.653,L2-Logistic,Two Year
Felony,0.652,L1-Logistic,Two Year
Felony,0.625,LinearSVM,Two Year
Felony,0.639,RF,Two Year
Felony,0.655,XGBoost,Two Year
Misdemeanor,0.627,L2-Logistic,Two Year
Misdemeanor,0.633,L1-Logistic,Two Year
Misdemeanor,0.632,LinearSVM,Two Year
Misdemeanor,0.622,RF,Two Year
Misdemeanor,0.632,XGBoost,Two Year
General,0.627,L2-Logistic,Six Month
General,0.621,L1-Logistic,Six Month
General,0.621,LinearSVM,Six Month
General,0.614,RF,Six Month
General,0.616,XGBoost,Six Month
Violent,0.677,L2-Logistic,Six Month
Violent,0.699,L1-Logistic,Six Month
Violent,0.653,LinearSVM,Six Month
Violent,0.674,RF,Six Month
Violent,0.68,XGBoost,Six Month
Drug,0.668,L2-Logistic,Six Month
Drug,0.655,L1-Logistic,Six Month
Drug,0.633,LinearSVM,Six Month
Drug,0.66,RF,Six Month
Drug,0.652,XGBoost,Six Month
Property,0.721,L2-Logistic,Six Month
Property,0.724,L1-Logistic,Six Month
Property,0.69,LinearSVM,Six Month
Property,0.693,RF,Six Month
Property,0.691,XGBoost,Six Month
Felony,0.621,L2-Logistic,Six Month
Felony,0.624,L1-Logistic,Six Month
Felony,0.583,LinearSVM,Six Month
Felony,0.615,RF,Six Month
Felony,0.613,XGBoost,Six Month
Misdemeanor,0.607,L2-Logistic,Six Month
Misdemeanor,0.611,L1-Logistic,Six Month
Misdemeanor,0.611,LinearSVM,Six Month
Misdemeanor,0.586,RF,Six Month
Misdemeanor,0.594,XGBoost,Six Month
