Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7047029702970297,2
race,Other,0.7777777777777778,2
race,Caucasian,0.709471766848816,2
race,Hispanic,0.7647058823529411,2
sex,male,0.719848975188781,2
sex,female,0.52,2
race,African-American,0.6950504339666901,3
race,Caucasian,0.7619825708061002,3
race,Hispanic,0.2142857142857143,3
race,Other,1.0,3
sex,male,0.7142145880009958,3
sex,female,0.725,3
