Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.5089749858434929,0
race,African-American,1,0.5346777279329066,0
race,Hispanic,0,0.4765877336037221,0
race,Caucasian,0,0.4447524439913824,0
race,Caucasian,1,0.4791299023436879,0
race,Other,1,0.4779486058539653,0
race,Other,0,0.4629238077794134,0
sex,male,0,0.48910336466582843,0
sex,male,1,0.5126397387695953,0
sex,female,0,0.45064132581643096,0
sex,female,1,0.4998710123033322,0
race,Other,0,0.47457829937631424,1
race,Other,1,0.5441038121553837,1
race,Caucasian,1,0.5135230584442907,1
race,Caucasian,0,0.46548408284357096,1
race,African-American,0,0.5087310717414038,1
race,African-American,1,0.5418822198230386,1
race,Hispanic,0,0.46371769886646896,1
race,Hispanic,1,0.5528402561237252,1
sex,male,0,0.4907784532418086,1
sex,male,1,0.5380232342534803,1
sex,female,1,0.5100079186867778,1
sex,female,0,0.48191579607031554,1
race,African-American,0,0.5132659310555225,2
race,African-American,1,0.5418753385469616,2
race,Other,0,0.4868281777695761,2
race,Other,1,0.5123688062197964,2
race,Caucasian,1,0.5210814083987471,2
race,Caucasian,0,0.45563025997411305,2
race,Hispanic,0,0.46380282017496754,2
race,Hispanic,1,0.5159366348168472,2
sex,male,0,0.4925298599665793,2
sex,male,1,0.5376488606068954,2
sex,female,1,0.5032520591787722,2
sex,female,0,0.4685570831223725,2
race,African-American,0,0.5195015790435813,3
race,African-American,1,0.5472464347112562,3
race,Caucasian,1,0.4853592709053359,3
race,Caucasian,0,0.4683530607133189,3
race,Hispanic,0,0.45107523186446985,3
race,Hispanic,1,0.5842223588027404,3
race,Other,0,0.45811088921904936,3
race,Other,1,0.41653206353670374,3
sex,male,0,0.49820571808929787,3
sex,male,1,0.5190266227366591,3
sex,female,0,0.47462434587415775,3
sex,female,1,0.5532884549650481,3
race,Caucasian,1,0.511889410405822,4
race,Caucasian,0,0.4610379348177305,4
race,African-American,0,0.5121230710279793,4
race,African-American,1,0.5476926907837901,4
race,Hispanic,0,0.4633607619351225,4
race,Hispanic,1,0.6105653305290379,4
race,Other,0,0.46384642079900623,4
race,Other,1,0.5298346985814018,4
sex,male,1,0.5452212445540888,4
sex,male,0,0.4946024784207112,4
sex,female,1,0.5042829557514491,4
sex,female,0,0.4699882313168111,4
