,Logistic,Lasso,Linear SVM,Random Forest,XGBoost
General,0.569,0.568,0.568,0.584,0.566
Violent,0.664,0.66,0.636,0.661,0.63
Drug,0.62,0.61,0.605,0.557,0.551
Property,0.686,0.688,0.678,0.642,0.642
Felony,0.596,0.591,0.602,0.601,0.58
Misdemeanor,0.549,0.548,0.545,0.564,0.549
