,Logistic,Lasso,Linear SVM,Random Forest,XGBoost
General,0.594,0.594,0.595,0.608,0.586
Violent,0.648,0.648,0.638,0.646,0.615
Drug,0.641,0.64,0.637,0.639,0.645
Property,0.669,0.67,0.669,0.671,0.642
Felony,0.63,0.63,0.632,0.614,0.603
Misdemeanor,0.539,0.539,0.539,0.567,0.55
