Model,train_auc_mean,train_auc_std,validation_auc_mean,validation_auc_std,holdout_test_auc,holdout_test_acc
,,,,,,
Logistic Regression,0.6400,0.0124,0.6293,0.0576,0.7124,0.7231
,,,,,,
Lasso,0.6381,0.0097,0.6294,0.0486,0.7062,0.8414
,,,,,,
CART,0.5790,0.0187,0.5589,0.0158,0.5933,0.8387
,,,,,,
RF,0.6379,0.0194,0.6216,0.0349,0.6911,0.8387
,,,,,,
SVM,0.6228,0.0267,0.6080,0.0170,0.6055,0.8387
,,,,,,
XGBoost,0.6490,0.0261,0.6333,0.0227,0.6918,0.8387
