Attribute,Attribute Value,AUC,fold_num
race,African-American,0.6208708708708709,0
race,Hispanic,0.37894736842105264,0
race,Caucasian,0.5252976190476191,0
race,Other,0.7833333333333333,0
sex,male,0.6040396341463414,0
sex,female,0.49099099099099097,0
race,Other,0.8,1
race,Caucasian,0.6820258948971821,1
race,African-American,0.607895824720959,1
race,Hispanic,0.5634920634920635,1
sex,male,0.6151727357609711,1
sex,female,0.7405764966740577,1
race,African-American,0.6280241935483871,2
race,Other,0.6547619047619048,2
race,Caucasian,0.676287492925863,2
race,Hispanic,0.7833333333333333,2
sex,male,0.6410460251046025,2
sex,female,0.7605321507760532,2
race,African-American,0.666878345278055,3
race,Caucasian,0.6225925925925926,3
race,Hispanic,0.7971014492753623,3
race,Other,0.736111111111111,3
sex,male,0.6662659479582735,3
sex,female,0.6892857142857143,3
race,Caucasian,0.6316872427983539,4
race,African-American,0.5996677740863787,4
race,Hispanic,0.6515151515151514,4
race,Other,0.6598639455782314,4
sex,male,0.5995087133852428,4
sex,female,0.7019230769230769,4
