Model,train_auc_mean,train_auc_std,validation_auc_mean,validation_auc_std,holdout_test_auc,holdout_test_acc
,,,,,,
Logistic Regression,0.6297,0.0053,0.6124,0.0329,0.6105,0.6909
,,,,,,
Lasso,0.6431,0.0051,0.6293,0.0171,0.6205,0.7285
,,,,,,
CART,0.6072,0.0054,0.5788,0.0219,0.5653,0.7285
,,,,,,
RF,0.6341,0.0046,0.6156,0.0086,0.5914,0.7285
,,,,,,
SVM,0.5912,0.0318,0.5721,0.0548,0.6325,0.7285
,,,,,,
XGBoost,0.6397,0.0234,0.6272,0.0281,0.6007,0.7285
