,Logistic,Lasso,Linear SVM,Random Forest,XGBoost
General,0.628,0.604,0.621,0.647,0.627
Violent,0.706,0.687,0.667,0.648,0.732
Drug,0.593,0.577,0.525,0.607,0.622
Property,0.61,0.643,0.543,0.611,0.619
Felony,0.605,0.593,0.572,0.635,0.623
Misdemeanor,0.61,0.595,0.573,0.614,0.61
