Attribute,Attribute Value,AUC,fold_num
race,Hispanic,0.8103448275862069,1
race,Other,0.8333333333333334,1
race,African-American,0.534037558685446,1
race,Caucasian,0.42727272727272725,1
sex,male,0.5622101113172542,1
sex,female,0.3161764705882353,1
race,Hispanic,0.48,4
race,African-American,0.4621981494019409,4
race,Caucasian,0.6029761904761906,4
race,Other,0.7794117647058824,4
sex,male,0.5105311355311355,4
sex,female,0.6141304347826088,4
