Model,train_auc_mean,train_auc_std,validation_auc_mean,validation_auc_std,holdout_test_auc,holdout_test_acc
,,,,,,
Logistic Regression,0.6665,0.0053,0.6574,0.0356,0.6723,0.7097
,,,,,,
Lasso,0.6804,0.0079,0.6694,0.0356,0.6737,0.8091
,,,,,,
CART,0.6571,0.0101,0.6282,0.0387,0.5835,0.7957
,,,,,,
RF,0.6848,0.0100,0.6703,0.0357,0.6277,0.8118
,,,,,,
SVM,0.6404,0.0308,0.6232,0.0247,0.6533,0.8118
,,,,,,
XGBoost,0.6677,0.0259,0.6486,0.0191,0.6107,0.8118
