,Logistic,std,Lasso,std,Linear SVM,std,CART,std,Random Forest,std,XGBoost,std
Two Year Recidivism,0.726,0.001,0.722,0.001,0.725,0.002,0.731,0.002,0.739,0.002,0.741,0.003
Six Month Recidivism,0.75,0.003,0.755,0.004,0.755,0.004,0.76,0.006,0.765,0.005,0.768,0.006
Violence,0.811,0.003,0.81,0.003,0.81,0.004,0.814,0.002,0.823,0.001,0.822,0.002
Felony,0.726,0.003,0.728,0.003,0.728,0.003,0.739,0.003,0.746,0.002,0.75,0.003
Misdemeanor,0.701,0.002,0.701,0.002,0.702,0.002,0.703,0.003,0.714,0.003,0.716,0.002
Drug,0.689,0.002,0.692,0.002,0.692,0.002,0.697,0.005,0.7,0.005,0.706,0.005
Property,0.778,0.005,0.783,0.004,0.781,0.004,0.771,0.007,0.782,0.006,0.781,0.007
