Model,train_auc_mean,train_auc_std,validation_auc_mean,validation_auc_std,holdout_test_auc,holdout_test_acc
,,,,,,
Logistic Regression,0.6729,0.0154,0.6392,0.0491,0.5957,0.5632
,,,,,,
Lasso,0.6573,0.0133,0.6485,0.0497,0.5951,0.5747
,,,,,,
CART,0.5000,0.0000,0.5000,0.0000,0.5000,0.5057
,,,,,,
RF,0.6934,0.0158,0.6207,0.0434,0.6134,0.5057
,,,,,,
SVM,0.6725,0.0247,0.6246,0.0713,0.5843,0.5057
,,,,,,
XGBoost,0.6638,0.0432,0.6633,0.0500,0.5682,0.5057
