,Logistic,Lasso,Linear SVM,Random Forest,XGBoost,Performance Range
General,0.735 (0.003),0.735 (0.003),0.735 (0.003),0.743 (0.003),0.749 (0.003),0.014
Violent,0.81 (0.002),0.81 (0.002),0.811 (0.002),0.819 (0.002),0.827 (0.001),0.017
Drug,0.692 (0.006),0.692 (0.006),0.694 (0.006),0.697 (0.006),0.71 (0.006),0.018
Property,0.791 (0.007),0.793 (0.006),0.796 (0.006),0.798 (0.006),0.808 (0.006),0.017
Felony,0.751 (0.004),0.751 (0.004),0.752 (0.004),0.765 (0.004),0.77 (0.004),0.019
Misdemeanor,0.71 (0.004),0.71 (0.004),0.71 (0.004),0.719 (0.004),0.726 (0.004),0.016
