,Logistic,Lasso,Linear SVM,Random Forest,XGBoost,Performance Range
General,0.732 (0.006),0.732 (0.006),0.733 (0.005),0.744 (0.005),0.753 (0.004),0.021
Violent,0.866 (0.009),0.866 (0.009),0.867 (0.01),0.872 (0.011),0.877 (0.011),0.011
Drug,0.747 (0.011),0.748 (0.01),0.748 (0.012),0.756 (0.007),0.769 (0.008),0.022
Property,0.835 (0.022),0.836 (0.022),0.828 (0.018),0.841 (0.013),0.854 (0.016),0.026
Felony,0.753 (0.008),0.754 (0.007),0.751 (0.006),0.775 (0.006),0.786 (0.006),0.035
Misdemeanor,0.719 (0.012),0.719 (0.012),0.722 (0.012),0.728 (0.009),0.742 (0.007),0.023
