Model,train_auc_mean,train_auc_std,validation_auc_mean,validation_auc_std,holdout_test_auc,holdout_test_acc
,,,,,,
Logistic Regression,0.6801,0.0053,0.6620,0.0260,0.7106,0.6478
,,,,,,
Lasso,0.6555,0.0057,0.6511,0.0199,0.6940,0.6452
,,,,,,
RF,0.6599,0.0104,0.6404,0.0269,0.6793,0.6210
,,,,,,
SVM,0.6679,0.0052,0.6489,0.0242,0.7015,0.6478
,,,,,,
XGBoost,0.6807,0.0138,0.6647,0.0122,0.6847,0.6452
,,,,,,
CART,0.6351,0.0068,0.6070,0.0208,0.6228,0.6263
