,CART,EBM,Lasso Stumps,RiskSLIM
General,0.547,0.542,0.543,0.55
Violent,0.591,0.625,0.635,0.594
Drug,0.532,0.592,0.562,0.582
Property,0.626,0.504,0.663,0.64
Felony,0.577,0.524,0.553,0.551
Misdemeanor,0.524,0.537,0.54,0.531
