,CART,EBM,Lasso Stumps,RiskSLIM
General,0.565,0.578,0.575,0.554
Violent,0.614,0.564,0.618,0.585
Drug,0.651,0.622,0.642,0.637
Property,0.631,0.572,0.635,0.631
Felony,0.6,0.568,0.599,0.557
Misdemeanor,0.537,0.55,0.544,0.529
